scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
maze,0.1,0.1,True,20,500,9010,19,0.95,480.0,500,917.5,480.0,0,0.8990549445152283,1.3770700693130493
maze,0.1,0.1,False,20,500,10,16,0.8,420.0,500,842.5,420.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,1010,15,0.75,400.0,500,795.0,400.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,2010,15,0.75,400.0,500,795.0,400.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,3010,14,0.7,380.0,500,755.0,380.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,4010,15,0.75,400.0,500,810.0,400.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,5010,16,0.8,420.0,500,850.0,420.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,6010,10,0.5,300.0,500,542.5,300.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,7010,10,0.5,300.0,500,542.5,300.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,8010,13,0.65,360.0,500,700.0,360.0,0,1.0,0.00045771352597512305
maze,0.1,0.1,False,20,500,9010,16,0.8,420.0,500,842.5,420.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,True,20,500,30,20,1.0,500.0,500,972.5,500.0,0,0.9008194208145142,1.470405101776123
maze,0.3,0.1,True,20,500,1030,19,0.95,480.0,500,932.5,480.0,0,0.8951071500778198,1.3770965337753296
maze,0.3,0.1,True,20,500,2030,18,0.9,460.0,500,862.5,460.0,0,0.8913085460662842,1.2922238111495972
maze,0.3,0.1,True,20,500,3030,20,1.0,500.0,500,972.5,500.0,0,0.9024801254272461,1.4704078435897827
maze,0.3,0.1,True,20,500,4030,19,0.95,480.0,500,925.0,480.0,0,0.9069311618804932,1.377081274986267
maze,0.3,0.1,True,20,500,5030,19,0.95,480.0,500,917.5,480.0,0,0.9042040705680847,1.3770689964294434
maze,0.3,0.1,True,20,500,6030,15,0.75,400.0,500,735.0,400.0,0,0.8985024690628052,1.081260085105896
maze,0.3,0.1,True,20,500,7030,20,1.0,500.0,500,972.5,500.0,0,0.9077048301696777,1.4704030752182007
maze,0.3,0.1,True,20,500,8030,19,0.95,480.0,500,917.5,480.0,0,0.9050546288490295,1.3770653009414673
maze,0.3,0.1,True,20,500,9030,17,0.85,440.0,500,792.5,440.0,0,0.8951915502548218,1.2151305675506592
maze,0.3,0.1,False,20,500,30,17,0.85,440.0,500,905.0,440.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,1030,13,0.65,360.0,500,692.5,360.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,2030,13,0.65,360.0,500,670.0,360.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,3030,16,0.8,420.0,500,835.0,420.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,4030,15,0.75,400.0,500,802.5,400.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,5030,15,0.75,400.0,500,795.0,400.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,6030,11,0.55,320.0,500,582.5,320.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,7030,15,0.75,400.0,500,795.0,400.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,8030,19,0.95,480.0,500,985.0,480.0,0,1.0,0.00045771352597512305
maze,0.3,0.1,False,20,500,9030,16,0.8,420.0,500,857.5,420.0,0,1.0,0.00045771352597512305
maze,0.5,0.1,True,20,500,50,19,0.95,480.0,500,925.0,480.0,0,0.8949935436248779,1.3770831823349
maze,0.5,0.1,True,20,500,1050,18,0.9,460.0,500,870.0,460.0,0,0.8992722034454346,1.2922253608703613
maze,0.5,0.1,True,20,500,2050,19,0.95,480.0,500,917.5,480.0,0,0.889853298664093,1.377061128616333
maze,0.5,0.1,True,20,500,3050,19,0.95,480.0,500,917.5,480.0,0,0.892813503742218,1.377066969871521
