scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean,config
tunnel,0.0,0.2,True,20,500,3300,15,0.75,400.0,500,385.0,400.0,5,19,18.75,17.5,0.9473684210526315,2,14,3,11,4.2727272727272725,0.8812803626060486,5.047226428985596,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,15,0.38652084182674,eps0.3
tunnel,0.0,0.2,True,20,500,4300,18,0.9,460.0,500,460.0,460.0,2,20,10.545454545454545,9.0,0.9,0,15,5,14,4.928571428571429,0.8833563327789307,5.100748062133789,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,18,0.4354486421827495,eps0.3
tunnel,0.0,0.2,True,20,500,5300,19,0.95,480.0,500,485.0,480.0,0,20,7.923076923076923,3.0,0.9,2,14,4,15,4.266666666666667,0.8816948533058167,5.0429816246032715,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,19,0.3816354027948294,eps0.3
tunnel,0.0,0.2,True,20,500,6300,13,0.65,360.0,500,325.0,360.0,3,18,11.9,9.0,0.8333333333333334,1,15,2,13,7.461538461538462,0.8759057521820068,5.007812023162842,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,13,0.3484224793796213,eps0.3
tunnel,0.0,0.2,True,20,500,7300,20,1.0,500.0,500,505.0,500.0,1,20,9.875,8.0,0.95,2,14,4,14,4.857142857142857,0.8822169899940491,5.198200702667236,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,20,0.39291067642518307,eps0.3
tunnel,0.0,0.2,True,20,500,8300,15,0.75,400.0,500,380.0,400.0,5,17,5.2,3.5,0.8888888888888888,3,13,2,15,5.4,0.8833158016204834,4.941848278045654,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,15,0.35696020663181405,eps0.3
tunnel,0.0,0.2,True,20,500,9300,20,1.0,500.0,500,510.0,500.0,1,20,8.8,5.0,1.0,1,17,2,12,5.083333333333333,0.8847135901451111,4.922867298126221,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,20,0.36781302514217495,eps0.3
tunnel,0.3,0.2,True,20,500,400,20,1.0,500.0,500,500.0,500.0,0,20,2.65,2.0,1.0,0,0,20,20,1.05,0.977979302406311,5.503448486328125,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8396074627658481,quantum
tunnel,0.3,0.2,True,20,500,1400,20,1.0,500.0,500,505.0,500.0,0,20,2.1,2.0,1.0,0,0,20,20,1.05,0.976335883140564,5.500833034515381,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8337973810631734,quantum
tunnel,0.3,0.2,True,20,500,2400,20,1.0,500.0,500,500.0,500.0,0,20,2.7,2.0,1.0,0,0,20,20,1.05,0.9780124425888062,5.517260551452637,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8566592660763812,quantum
tunnel,0.3,0.2,True,20,500,3400,20,1.0,500.0,500,500.0,500.0,0,20,2.15,2.0,1.0,0,0,20,20,1.1,0.9779363870620728,5.50644588470459,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8544928225252046,quantum
tunnel,0.3,0.2,True,20,500,4400,20,1.0,500.0,500,500.0,500.0,0,20,2.85,2.0,1.0,0,0,20,20,1.0,0.9777776002883911,5.530162811279297,nan,nan,0,nan,nan,0.7573522329330444,0.7573522925376892,20,0.824469807511915,quantum
tunnel,0.3,0.2,True,20,500,5400,20,1.0,500.0,500,500.0,500.0,0,20,2.55,2.0,1.0,0,0,20,20,1.05,0.977786660194397,5.53031063079834,nan,nan,0,nan,nan,0.7573522329330444,0.7573522925376892,20,0.8276478270087202,quantum
tunnel,0.3,0.2,True,20,500,6400,20,1.0,500.0,500,500.0,500.0,0,20,1.9,2.0,1.0,0,0,20,20,1.1,0.9779204726219177,5.499148845672607,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8424834788260872,quantum
tunnel,0.3,0.2,True,20,500,7400,20,1.0,500.0,500,500.0,500.0,0,20,1.9,2.0,1.0,0,0,20,20,1.2,0.9778752326965332,5.504927635192871,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8506884474698971,quantum
tunnel,0.3,0.2,True,20,500,8400,20,1.0,500.0,500,500.0,500.0,0,20,2.25,2.0,1.0,0,0,20,20,1.1,0.9778193831443787,5.504528522491455,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8526166786078688,quantum
tunnel,0.3,0.2,True,20,500,9400,20,1.0,500.0,500,500.0,500.0,0,20,2.05,2.0,1.0,0,0,20,20,1.1,0.977886438369751,5.499640941619873,nan,nan,0,nan,nan,0.7573522299528122,0.7573522627353668,20,0.8399577794040187,quantum
tunnel,0.3,0.2,True,20,500,500,20,1.0,500.0,500,500.0,500.0,0,20,2.45,2.0,1.0,0,0,20,20,1.05,0.9720298051834106,6.033900260925293,nan,nan,0,nan,nan,0.7573522210121155,0.7573522180318832,20,0.6395923628709385,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,1500,20,1.0,500.0,500,500.0,500.0,0,20,3.2,2.0,1.0,0,0,20,20,1.05,0.9701383113861084,6.148904323577881,nan,nan,0,nan,nan,0.7573522239923477,0.7573522478342056,20,0.5159513398256681,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,2500,20,1.0,500.0,500,500.0,500.0,0,20,2.0,2.0,1.0,0,0,20,20,1.1,0.9717711806297302,6.021000385284424,nan,nan,0,nan,nan,0.757352215051651,0.7573521882295609,20,0.5705772914006164,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,3500,20,1.0,500.0,500,500.0,500.0,0,20,2.2,2.0,1.0,0,0,20,20,1.15,0.9716866612434387,6.101071357727051,nan,nan,0,nan,nan,0.7573522210121155,0.7573522180318832,20,0.6105699799922787,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,4500,20,1.0,500.0,500,500.0,500.0,0,20,1.65,2.0,1.0,0,0,20,20,1.1,0.9710729718208313,6.062839984893799,nan,nan,0,nan,nan,0.7573522180318832,0.7573522180318832,20,0.5743145325952131,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,5500,20,1.0,500.0,500,500.0,500.0,0,20,3.05,2.0,1.0,0,0,20,20,1.15,0.9712225198745728,6.140761375427246,nan,nan,0,nan,nan,0.7573522120714188,0.7573521882295609,20,0.5550973800912897,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,6500,20,1.0,500.0,500,505.0,500.0,0,20,2.85,2.0,1.0,0,0,20,20,1.05,0.9704067707061768,6.106734752655029,nan,nan,0,nan,nan,0.7573522210121155,0.7573522180318832,20,0.6406315199913439,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,7500,20,1.0,500.0,500,500.0,500.0,0,20,3.7,2.0,1.0,0,0,20,20,1.0,0.9718176126480103,6.161027431488037,nan,nan,0,nan,nan,0.7573522239923477,0.7573522478342056,20,0.6318677974651064,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,8500,20,1.0,500.0,500,500.0,500.0,0,20,2.85,2.0,1.0,0,0,20,20,1.2,0.9703269004821777,6.0799970626831055,nan,nan,0,nan,nan,0.7573522210121155,0.7573522180318832,20,0.5489705283351667,quantum_eps0.1
tunnel,0.3,0.2,True,20,500,9500,20,1.0,500.0,500,500.0,500.0,0,20,2.2,2.0,1.0,0,0,20,20,1.05,0.9716504216194153,6.07379674911499,nan,nan,0,nan,nan,0.7573522299528122,0.757352277636528,20,0.5988818370702649,quantum_eps0.1
