scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,final_coherence_mean,final_pilot_wave_mean
moving,0.1,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9770853519439697,3.1202099323272705
moving,0.1,0.2,True,20,500,7,18,0.9,460.0,500,288.0,460.0,18,0,0.9251100420951843,12.780858993530273
moving,0.1,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.9782981872558594,3.11392879486084
moving,0.1,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.9262707233428955,12.286523818969727
moving,0.1,0.2,True,20,500,10,20,1.0,500.0,500,320.0,500.0,20,0,0.926633358001709,12.277874946594238
moving,0.1,0.2,True,20,500,11,20,1.0,500.0,500,320.0,500.0,20,0,0.9271759986877441,12.264028549194336
moving,0.1,0.2,True,20,500,12,20,1.0,500.0,500,320.0,500.0,20,0,0.9268474578857422,12.265703201293945
moving,0.1,0.2,True,20,500,13,0,0.0,100.0,100,0.0,100.0,0,0,0.9766325950622559,3.236880302429199
moving,0.1,0.2,True,20,500,14,20,1.0,500.0,500,320.0,500.0,20,0,0.9261902570724487,12.274574279785156
moving,0.1,0.2,True,20,500,15,20,1.0,500.0,500,320.0,500.0,20,0,0.9260298013687134,12.25200080871582
moving,0.1,0.2,True,20,500,16,20,1.0,500.0,500,320.0,500.0,20,0,0.9267667531967163,12.273262977600098
moving,0.1,0.2,True,20,500,17,20,1.0,500.0,500,320.0,500.0,20,0,0.9268860220909119,12.269184112548828
moving,0.1,0.2,True,20,500,18,0,0.0,100.0,100,0.0,100.0,0,0,0.9781880378723145,3.113583564758301
moving,0.1,0.2,True,20,500,19,20,1.0,500.0,500,320.0,500.0,20,0,0.9272659420967102,12.259418487548828
moving,0.1,0.2,True,20,500,20,0,0.0,100.0,100,0.0,100.0,0,0,0.9783572554588318,3.1178269386291504
moving,0.1,0.2,True,20,500,21,20,1.0,500.0,500,320.0,500.0,20,0,0.9271806478500366,12.207450866699219
moving,0.1,0.2,True,20,500,22,18,0.9,460.0,500,288.0,460.0,18,0,0.9251397252082825,12.77608871459961
moving,0.1,0.2,True,20,500,23,18,0.9,460.0,500,288.0,460.0,18,0,0.9250559210777283,12.776566505432129
moving,0.1,0.2,True,20,500,24,0,0.0,100.0,100,0.0,100.0,0,0,0.9774369597434998,3.111720561981201
moving,0.1,0.2,True,20,500,25,0,0.0,100.0,100,0.0,100.0,0,0,0.9774666428565979,3.1120686531066895
